Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,RECURSIVE_DIVISION,0,761,120327,172667,6156,172666,8199,8199
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,92869,77148,5798,113172,9749,8199
BFS,DFS,0,761,115799,169723,42548,169722,30607,30607
RIGHT HAND RULE,DFS,0,761,306640,208775,96625,386942,30607,30607
BFS,PRIM,0,761,191355,288793,46897,288792,1679,1679
RIGHT HAND RULE,PRIM,0,761,261370,168441,54452,335202,1679,1679
BFS,HUNT_AND_KILL,0,761,135312,203393,39672,203392,1639,1639
RIGHT HAND RULE,HUNT_AND_KILL,0,761,302708,192521,75417,383402,1639,1639
BFS,RECURSIVE_DIVISION,0,761,219797,327182,11422,327181,8199,8199
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,103515,86698,5602,129332,9479,8199
BFS,DFS,0,761,176123,261621,65471,261620,42595,42595
RIGHT HAND RULE,DFS,0,761,235341,170195,74409,297794,42595,42595
BFS,PRIM,0,761,180513,273280,44259,273279,1907,1907
RIGHT HAND RULE,PRIM,0,761,80819,54519,17329,107130,1907,1907
BFS,HUNT_AND_KILL,0,761,191168,287008,56473,287007,1635,1635
RIGHT HAND RULE,HUNT_AND_KILL,0,761,304090,192101,75182,382566,1635,1635
BFS,RECURSIVE_DIVISION,0,761,146656,215009,7496,215008,9081,9081
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,343475,266828,19867,402304,10803,9081
BFS,DFS,0,761,46474,64014,16454,64013,14643,14643
RIGHT HAND RULE,DFS,0,761,306120,201491,97013,388338,14643,14643
BFS,PRIM,0,761,83650,122376,19527,122375,1623,1623
RIGHT HAND RULE,PRIM,0,761,262372,167785,54120,333946,1623,1623
BFS,HUNT_AND_KILL,0,761,158203,238890,46712,238889,1759,1759
RIGHT HAND RULE,HUNT_AND_KILL,0,761,356681,225799,88428,449838,1759,1759
BFS,RECURSIVE_DIVISION,0,761,225312,336733,12076,336732,14935,14935
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,156340,127391,9578,185600,17573,14935
BFS,DFS,0,761,61321,87118,21973,87117,19783,19783
RIGHT HAND RULE,DFS,0,761,87550,66877,28289,113970,19783,19783
BFS,PRIM,0,761,169157,254166,41108,254165,1819,1819
RIGHT HAND RULE,PRIM,0,761,350239,219667,71086,437514,1819,1819
BFS,HUNT_AND_KILL,0,761,84797,124451,24227,124450,1583,1583
RIGHT HAND RULE,HUNT_AND_KILL,0,761,210292,135675,52967,269766,1583,1583
BFS,RECURSIVE_DIVISION,0,761,123408,177826,5929,177825,12923,12923
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,94027,82092,5413,117226,15251,12923
BFS,DFS,0,761,176409,258010,64479,258009,48163,48163
RIGHT HAND RULE,DFS,0,761,195784,148095,61719,248026,48163,48163
